-		s	{double[1000]}	double[]
		[0]	0	double
		[1]	5.8778525229247309	double
		[2]	9.5105651629515364	double
		[3]	9.5105651629515364	double
		[4]	5.8778525229247318	double
		[5]	1.2246063538223773E-15	double
		[6]	-5.87785252292473	double
		[7]	-9.5105651629515346	double
		[8]	-9.5105651629515364	double
		[9]	-5.8778525229247327	double
		[10]	-2.4492127076447545E-15	double
		[11]	5.8778525229247292	double
		[12]	9.5105651629515346	double
		[13]	9.5105651629515364	double
		[14]	5.8778525229247345	double
		[15]	3.6738190614671318E-15	double
		[16]	-5.8778525229247283	double
		[17]	-9.5105651629515346	double
		[18]	-9.5105651629515364	double
		[19]	-5.8778525229247354	double
		[20]	-4.898425415289509E-15	double
		[21]	5.8778525229247274	double
		[22]	9.5105651629515346	double
		[23]	9.5105651629515382	double
		[24]	5.8778525229247363	double
		[25]	6.1230317691118863E-15	double
		[26]	-5.8778525229247265	double
		[27]	-9.5105651629515329	double
		[28]	-9.5105651629515382	double
		[29]	-5.8778525229247371	double
		[30]	-7.3476381229342635E-15	double
		[31]	5.8778525229247247	double
		[32]	9.5105651629515329	double
		[33]	9.5105651629515382	double
		[34]	5.877852522924738	double
		[35]	8.5722444767566408E-15	double
		[36]	-5.8778525229247238	double
		[37]	-9.5105651629515329	double
		[38]	-9.5105651629515382	double
		[39]	-5.8778525229247389	double
		[40]	-9.7968508305790181E-15	double
		[41]	5.8778525229247229	double
		[42]	9.5105651629515329	double
		[43]	9.5105651629515382	double
		[44]	5.87785252292474	double
		[45]	1.1021457184401395E-14	double
		[46]	-5.877852522924722	double
		[47]	-9.5105651629515329	double
		[48]	-9.51056516295154	double
		[49]	-5.8778525229247407	double
		[50]	-1.2246063538223773E-14	double
		[51]	5.8778525229246927	double
		[52]	9.5105651629515311	double
		[53]	9.51056516295153	double
		[54]	5.8778525229247416	double
		[55]	4.8997806680051159E-14	double
		[56]	-5.87785252292472	double
		[57]	-9.5105651629515418	double
		[58]	-9.51056516295154	double
		[59]	-5.8778525229247718	double
		[60]	-1.4695276245868527E-14	double
		[61]	5.8778525229247478	double
		[62]	9.5105651629515311	double
		[63]	9.51056516295155	double
		[64]	5.8778525229247442	double
		[65]	-1.9607254188314105E-14	double
		[66]	-5.8778525229247185	double
		[67]	-9.51056516295152	double
		[68]	-9.5105651629515418	double
		[69]	-5.8778525229247158	double
		[70]	-1.7144488953513282E-14	double
		[71]	5.8778525229246883	double
		[72]	9.5105651629515311	double
		[73]	9.5105651629515311	double
		[74]	5.877852522924746	double
		[75]	5.3896232095340668E-14	double
		[76]	-5.8778525229247158	double
		[77]	-9.5105651629515418	double
		[78]	-9.5105651629515418	double
		[79]	-5.8778525229247753	double
		[80]	-1.9593701661158036E-14	double
		[81]	5.8778525229247442	double
		[82]	9.51056516295153	double
		[83]	9.5105651629515524	double
		[84]	5.8778525229247478	double
		[85]	-1.4708828773024596E-14	double
		[86]	-5.8778525229247141	double
		[87]	-9.5105651629515187	double
		[88]	-9.5105651629515418	double
		[89]	-5.87785252292472	double
		[90]	-2.2042914368802791E-14	double
		[91]	5.8778525229246847	double
		[92]	9.51056516295153	double
		[93]	9.5105651629515311	double
		[94]	5.87785252292475	double
		[95]	5.8794657510630177E-14	double
		[96]	-5.8778525229247123	double
		[97]	-9.51056516295154	double
		[98]	-9.5105651629515435	double
		[99]	-5.87785252292478	double
		[100]	-2.4492127076447545E-14	double
		[101]	5.87785252292474	double
		[102]	9.5105651629515062	double
		[103]	9.5105651629515542	double
		[104]	5.8778525229247522	double
		[105]	-9.8104033577350869E-15	double
		[106]	-5.8778525229247673	double
		[107]	-9.5105651629515169	double
		[108]	-9.5105651629515435	double
		[109]	-5.8778525229247238	double
		[110]	-9.7995613360102318E-14	double
		[111]	5.87785252292468	double
		[112]	9.5105651629515275	double
		[113]	9.5105651629515329	double
		[114]	5.8778525229246963	double
		[115]	6.3693082925919686E-14	double
		[116]	-5.8778525229247087	double
		[117]	-9.5105651629515382	double
		[118]	-9.5105651629515666	double
		[119]	-5.8778525229247833	double
		[120]	-2.9390552491737054E-14	double
		[121]	5.8778525229247363	double
		[122]	9.5105651629515489	double
		[123]	9.510565162951556	double
		[124]	5.8778525229247558	double
		[125]	-4.9119779424455778E-15	double
		[126]	-5.8778525229246492	double
		[127]	-9.5105651629515151	double
		[128]	-9.5105651629515453	double
		[129]	-5.8778525229247283	double
		[130]	3.921450837662821E-14	double
		[131]	5.8778525229246767	double
		[132]	9.5105651629515258	double
		[133]	9.5105651629515346	double
		[134]	5.8778525229248153	double
		[135]	6.85915083412092E-14	double
		[136]	-5.8778525229247043	double
		[137]	-9.5105651629515364	double
		[138]	-9.510565162951524	double
		[139]	-5.8778525229247878	double
		[140]	-3.4288977907026563E-14	double
		[141]	5.8778525229247318	double
		[142]	9.5105651629515027	double
		[143]	9.5105651629515577	double
		[144]	5.87785252292476	double
		[145]	-1.3552527156068805E-17	double
		[146]	-5.87785252292476	double
		[147]	-9.5105651629515133	double
		[148]	-9.5105651629515471	double
		[149]	-5.8778525229247318	double
		[150]	-1.0779246419068134E-13	double
		[151]	5.8778525229246723	double
		[152]	9.510565162951524	double
		[153]	9.5105651629515364	double
		[154]	5.8778525229247043	double
		[155]	7.34899337564987E-14	double
		[156]	-5.8778525229247007	double
		[157]	-9.5105651629515346	double
		[158]	-9.51056516295157	double
		[159]	-5.8778525229247913	double
		[160]	-3.9187403322316072E-14	double
		[161]	5.8778525229247283	double
		[162]	9.5105651629515453	double
		[163]	9.51056516295156	double
		[164]	5.8778525229247638	double
		[165]	4.88487288813344E-15	double
		[166]	-5.8778525229246412	double
		[167]	-9.5105651629515116	double
		[168]	-9.5105651629515489	double
		[169]	-5.8778525229247363	double
		[170]	2.9417657546049192E-14	double
		[171]	5.8778525229246688	double
		[172]	9.5105651629515222	double
		[173]	9.5105651629515382	double
		[174]	5.8778525229248233	double
		[175]	7.8388359171788213E-14	double
		[176]	-5.8778525229246963	double
		[177]	-9.5105651629515329	double
		[178]	-9.5105651629515275	double
		[179]	-5.8778525229247958	double
		[180]	-4.4085828737605581E-14	double
		[181]	5.8778525229247238	double
		[182]	9.5105651629515	double
		[183]	9.5105651629515613	double
		[184]	5.8778525229247673	double
		[185]	9.78329830342295E-15	double
		[186]	-5.8778525229247522	double
		[187]	-9.51056516295151	double
		[188]	-9.51056516295155	double
		[189]	-5.87785252292474	double
		[190]	-1.1758931502126035E-13	double
		[191]	5.8778525229246643	double
		[192]	9.51056516295152	double
		[193]	9.51056516295154	double
		[194]	5.8778525229247123	double
		[195]	8.3286784587077722E-14	double
		[196]	-5.8778525229246927	double
		[197]	-9.5105651629515311	double
		[198]	-9.5105651629515719	double
